<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170109,15:20,169.5500000,169.9000000,169.4200000,169.7400000,784020
SBER,10,20170109,15:30,169.7200000,169.8500000,169.4400000,169.4500000,255790
SBER,10,20170109,15:40,169.4500000,169.6600000,169.4200000,169.6300000,114110
SBER,10,20170109,15:50,169.6300000,169.7300000,169.5200000,169.5800000,276660
SBER,10,20170109,16:00,169.6000000,169.6200000,169.4100000,169.5300000,349870
SBER,10,20170109,16:10,169.4800000,169.7900000,169.4600000,169.6100000,339610
SBER,10,20170109,16:20,169.6100000,169.6200000,169.0100000,169.2000000,855730
SBER,10,20170109,16:30,169.2200000,169.7700000,169.2100000,169.3000000,630100
SBER,10,20170109,16:40,169.2900000,169.3000000,168.9000000,168.9300000,1725590
SBER,10,20170109,16:50,168.9300000,168.9800000,168.6900000,168.8500000,886850
SBER,10,20170109,17:00,168.8500000,168.8500000,168.6000000,168.6600000,893740
SBER,10,20170109,17:10,168.6500000,169.0000000,168.5000000,168.6500000,1994870
SBER,10,20170109,17:20,168.6300000,168.7700000,168.4000000,168.4500000,843180
SBER,10,20170109,17:30,168.4500000,169.1100000,168.4300000,169.1100000,576270
SBER,10,20170109,17:40,169.0800000,169.1200000,168.6100000,168.7800000,1125180
SBER,10,20170109,17:50,168.7100000,168.9600000,168.1900000,168.2100000,1231000
SBER,10,20170109,18:00,168.2100000,168.6000000,168.1400000,168.5100000,641180
SBER,10,20170109,18:10,168.5500000,168.6000000,168.3800000,168.4400000,357170
SBER,10,20170109,18:20,168.4400000,168.6500000,168.4200000,168.5000000,354850
SBER,10,20170109,18:30,168.5000000,168.5900000,168.0500000,168.0800000,1967330
SBER,10,20170109,18:40,168.3500000,168.3500000,168.3500000,168.3500000,274120
SBER,10,20170110,10:00,168.3700000,168.7400000,167.5400000,168.1700000,2046670
SBER,10,20170110,10:10,168.2200000,168.4500000,168.1400000,168.3600000,220670
SBER,10,20170110,10:20,168.3500000,169.4800000,168.3300000,169.3100000,1651520
SBER,10,20170110,10:30,169.2700000,169.9500000,169.0700000,169.7800000,1606820
SBER,10,20170110,10:40,169.7800000,169.8900000,169.6100000,169.8400000,1011350
SBER,10,20170110,10:50,169.8400000,170.5900000,169.7000000,170.5200000,2487480
SBER,10,20170110,11:00,170.5900000,171.0400000,170.2900000,170.7700000,3576430
SBER,10,20170110,11:10,170.7700000,170.9000000,170.5800000,170.8100000,1602510
SBER,10,20170110,11:20,170.8400000,171.2000000,170.8000000,171.0300000,1418090
SBER,10,20170110,11:30,171.0400000,171.4000000,171.0000000,171.2300000,1105870
SBER,10,20170110,11:40,171.2300000,171.2400000,171.0000000,171.0000000,1550290
SBER,10,20170110,11:50,171.0100000,171.3500000,170.8000000,171.0800000,1397570
SBER,10,20170110,12:00,171.1400000,171.2000000,170.8200000,171.0700000,660900
SBER,10,20170110,12:10,171.0300000,171.2000000,171.0100000,171.1400000,415710
SBER,10,20170110,12:20,171.1500000,171.2000000,170.9000000,170.9300000,378190
SBER,10,20170110,12:30,170.9500000,171.1300000,170.8200000,170.8300000,451230
SBER,10,20170110,12:40,170.8500000,171.1400000,170.8000000,171.1200000,543840
SBER,10,20170110,12:50,171.0500000,171.3000000,170.8000000,170.9200000,1474470
SBER,10,20170110,13:00,170.9100000,171.1700000,170.8500000,171.1100000,350010
SBER,10,20170110,13:10,171.1100000,171.2000000,171.0000000,171.1000000,1058980
SBER,10,20170110,13:20,171.0400000,171.1400000,170.9200000,171.0000000,315170
SBER,10,20170110,13:30,171.0000000,171.1500000,170.9700000,171.1500000,276010
SBER,10,20170110,13:40,171.1500000,171.2000000,171.0600000,171.1400000,698720
SBER,10,20170110,13:50,171.1400000,171.8500000,170.8000000,170.8500000,3617620
SBER,10,20170110,14:00,170.8500000,171.0500000,170.8000000,171.0400000,561930
SBER,10,20170110,14:10,170.9900000,171.0800000,170.8000000,170.9200000,390590
SBER,10,20170110,14:20,170.9600000,171.0900000,170.4500000,170.7200000,1022050
SBER,10,20170110,14:30,170.7600000,171.0400000,170.7500000,170.8200000,251820
SBER,10,20170110,14:40,170.8300000,171.2000000,170.8100000,171.1000000,537200
SBER,10,20170110,14:50,171.1500000,171.1800000,171.0000000,171.1800000,218770
SBER,10,20170110,15:00,171.1400000,171.2000000,171.0000000,171.0500000,417100
SBER,10,20170110,15:10,171.0400000,171.1000000,170.6700000,170.8800000,612200
SBER,10,20170110,15:20,170.8800000,171.0700000,170.8500000,170.8500000,211350
SBER,10,20170110,15:30,170.8900000,171.0200000,170.7800000,171.0100000,196060
SBER,10,20170110,15:40,171.0200000,171.3000000,170.9900000,171.3000000,574780
SBER,10,20170110,15:50,171.3000000,172.1800000,171.2900000,172.0000000,3825970
SBER,10,20170110,16:00,172.0600000,172.2000000,171.6000000,171.6600000,1829780
SBER,10,20170110,16:10,171.6700000,171.7500000,171.6500000,171.7500000,678160
SBER,10,20170110,16:20,171.7500000,172.1100000,171.7000000,172.1000000,3214800
SBER,10,20170110,16:30,172.1000000,172.1000000,171.7400000,171.8100000,1404080
SBER,10,20170110,16:40,171.8100000,171.9800000,171.7500000,171.9200000,819830
SBER,10,20170110,16:50,171.9200000,172.0000000,171.9200000,171.9600000,2482000
SBER,10,20170110,17:00,171.9600000,172.0000000,171.9500000,171.9600000,1825900
SBER,10,20170110,17:10,171.9600000,172.0000000,171.9000000,171.9100000,666660
SBER,10,20170110,17:20,171.9300000,171.9400000,171.7100000,171.8700000,347250
SBER,10,20170110,17:30,171.8700000,172.0000000,171.7300000,171.9100000,823950
SBER,10,20170110,17:40,171.9100000,172.3000000,171.7500000,171.9600000,1702870
SBER,10,20170110,17:50,171.9900000,172.0000000,171.7000000,171.9000000,658530
SBER,10,20170110,18:00,171.9200000,172.0000000,171.7500000,171.7600000,470470
SBER,10,20170110,18:10,171.7900000,171.7900000,171.3400000,171.4100000,859150
SBER,10,20170110,18:20,171.4600000,171.5000000,170.9000000,171.2400000,950700
SBER,10,20170110,18:30,171.1900000,171.5600000,171.1900000,171.2300000,670200
SBER,10,20170110,18:40,171.6000000,171.6000000,171.6000000,171.6000000,694410
SBER,10,20170111,10:00,171.5000000,171.5000000,170.2200000,171.3000000,1749090
SBER,10,20170111,10:10,171.3300000,171.3300000,171.0000000,171.0700000,573960
SBER,10,20170111,10:20,171.1700000,171.3900000,171.0000000,171.3000000,378660
SBER,10,20170111,10:30,171.3000000,172.8000000,171.2000000,172.5200000,1874910
SBER,10,20170111,10:40,172.5900000,173.0500000,172.5900000,172.7600000,2187210
SBER,10,20170111,10:50,172.8200000,173.0500000,172.8200000,172.9800000,788740
SBER,10,20170111,11:00,172.8900000,173.0500000,172.6900000,172.7800000,1668160
SBER,10,20170111,11:10,172.8000000,172.8800000,172.4000000,172.4400000,1261710
SBER,10,20170111,11:20,172.4300000,172.4300000,171.6800000,171.9300000,1470980
SBER,10,20170111,11:30,171.9300000,172.3400000,171.5000000,171.8600000,1229600
SBER,10,20170111,11:40,171.8600000,172.0900000,171.5500000,172.0200000,654860
